#beta	T	T2	T2s	T*V
0.42390000000000017	0.14517968070487997	-0.0052297252351548446	0.018567841936176558	145.52718321937215
0.4240000000000002	0.14514569718733814	-0.005227295843639698	0.01855035639319817	145.49311835878189
0.4241000000000002	0.14511172951464996	-0.005224868135565302	0.018552233617625372	145.45906938097158
0.4242000000000002	0.14507777767578012	-0.005222442109397955	0.018551554087994384	145.4250362748795
0.4243000000000002	0.14504384165970366	-0.005220017763578392	0.018543325567320183	145.39101902945427
0.42440000000000017	0.1450099214554057	-0.005217595096572195	0.01853404338599462	145.35701763365466
0.4245000000000002	0.14497601705188162	-0.005215174106828609	0.018531770552851632	145.3230320764497
0.4246000000000002	0.14494212843813686	-0.005212754792821841	0.018538434191279943	145.28906234681853
0.4247000000000002	0.1449082556031872	-0.00521033715298285	0.018518745601526256	145.25510843375062
0.4248000000000002	0.14487439853605846	-0.00520792118582274	0.018511090573683834	145.22117032624556
0.42490000000000017	0.14484055722578643	-0.005205506889786901	0.01851431419991686	145.18724801331285
0.4250000000000002	0.14480673166141736	-0.0052030942633104725	0.018500202396778652	145.15334148397255
0.4251000000000002	0.14477292183200738	-0.005200683304929109	0.018511814521029818	145.11945072725456
0.4252000000000002	0.14473912772662265	-0.0051982740130565065	0.01849813686602843	145.08557573219892
0.4253000000000002	0.1447053493343397	-0.005195866386191741	0.01849456189251708	145.051716487856
0.42540000000000017	0.14467158664424487	-0.005193460422802281	0.018481982356597315	145.01787298328597
0.4255000000000002	0.14463783964543467	-0.005191056121359467	0.018491735847399965	144.9840452075593
0.4256000000000002	0.1446041083270157	-0.005188653480361098	0.018484379228188345	144.95023314975646
0.4257000000000002	0.1445703926781045	-0.005186252498263955	0.018479042115591548	144.916436798968
0.4258000000000002	0.14453669268782773	-0.005183853173563407	0.01847272320758436	144.88265614429451
0.42590000000000017	0.14450300834532206	-0.005181455504722603	0.01846654816897511	144.84889117484667
0.4260000000000002	0.14446933963973405	-0.005179059490279579	0.0184585099672306	144.81514187974506
0.4261000000000002	0.1444356865602204	-0.005176665128667499	0.018459623563579965	144.78140824812044
0.4262000000000002	0.14440204909594767	-0.005174272418374934	0.018456780277494905	144.74769026911343
0.4263000000000002	0.14436842723609258	-0.005171881357917938	0.018457511550535984	144.71398793187484
0.42640000000000017	0.14433482096984157	-0.005169491945781592	0.01843932310714052	144.68030122556522
0.4265000000000002	0.14430123028639116	-0.005167104180465185	0.018446181737255696	144.6466301393552
0.4266000000000002	0.14426765517494783	-0.005164718060443545	0.018434300305273744	144.61297466242553
0.4267000000000002	0.14423409562472791	-0.0051623335842266365	0.018434524193478838	144.57933478396663
0.4268000000000002	0.14420055162495765	-0.0051599507503242706	0.01842256852560097	144.545710493179
0.42690000000000017	0.14416702316487334	-0.0051575695572066	0.01842458264176844	144.51210177927314
0.4270000000000002	0.14413351023372095	-0.005155190003405118	0.01841397046904574	144.4785086314693
0.4271000000000002	0.1441000128207565	-0.005152812087419825	0.01841902246135086	144.44493103899777
0.4272000000000002	0.1440665309152458	-0.005150435807733951	0.01840216381957418	144.41136899109873
0.4273000000000002	0.14403306450646444	-0.0051480611628876025	0.018411293787007607	144.377822477022
0.42740000000000017	0.1439996135836981	-0.005145688151348848	0.018395831083571346	144.34429148602769
0.4275000000000002	0.14396617813624202	-0.005143316771656478	0.01839860025821021	144.31077600738536
0.4276000000000002	0.1439327581534014	-0.005140947022349379	0.01840076140132602	144.27727603037465
0.4277000000000002	0.14389935362449133	-0.005138578901874386	0.01839031359124925	144.24379154428507
0.4278000000000002	0.14386596453883657	-0.0051362124087870565	0.018382278072105556	144.21032253841582
0.42790000000000017	0.14383259088577166	-0.005133847541617735	0.01838459244014214	144.17686900207593
0.4280000000000002	0.14379923265464103	-0.00513148429884195	0.01836769108179909	144.14343092458427
0.4281000000000002	0.1437658898347988	-0.005129122679026728	0.018362316391962324	144.11000829526952
0.4282000000000002	0.14373256241560883	-0.005126762680664957	0.018362068779870507	144.07660110347013
0.4283000000000002	0.14369925038644488	-0.005124404302301004	0.01835036985441635	144.04320933853433
0.42840000000000017	0.1436659537366902	-0.005122047542442048	0.018363758284846873	144.00983298981998
0.4285000000000002	0.14363267245573788	-0.005119692399614782	0.018359704395537357	143.97647204669485
0.4286000000000002	0.14359940653299083	-0.005117338872378397	0.018338657931435964	143.9431264985364
0.4287000000000002	0.14356615595786154	-0.005114986959203039	0.018338026883304277	143.90979633473182
0.4288000000000002	0.14353292071977225	-0.005112636658684567	0.018340142753598992	143.87648154467803
0.42890000000000017	0.14349970080815475	-0.005110287969338531	0.01833267981005565	143.8431821177815
0.4290000000000002	0.14346649621245058	-0.005107940889683804	0.018334293092181885	143.80989804345856
0.4291000000000002	0.14343330692211106	-0.005105595418265268	0.01832379860282481	143.7766293111352
0.4292000000000002	0.14340013292659698	-0.00510325155362978	0.018323262447822605	143.743375910247
0.4293000000000002	0.1433669742153789	-0.005100909294310952	0.01831702657891475	143.71013783023938
0.42940000000000017	0.1433338307779368	-0.005098568638847342	0.018309531905810975	143.6769150605671
0.4295000000000002	0.14330070260376054	-0.00509622958579243	0.01830745470830265	143.64370759069485
0.4296000000000002	0.1432675896823494	-0.005093892133682428	0.018298550856013545	143.61051541009675
0.4297000000000002	0.1432344920032123	-0.005091556281074084	0.01829630983317165	143.57733850825667
0.4298000000000002	0.1432014095558678	-0.005089222026511113	0.01829797658288486	143.54417687466804
0.42990000000000017	0.14316834232984388	-0.0050868893685581335	0.018298674604668268	143.5110304988338
0.4300000000000002	0.1431352903146782	-0.005084558305732505	0.018281095893876977	143.47789937026656
0.4301000000000002	0.14310225349991798	-0.005082228836609848	0.01827630198812784	143.44478347848852
0.4302000000000002	0.14306923187512	-0.005079900959759833	0.01826925073133928	143.4116828130314
0.4303000000000002	0.14303622542985034	-0.005077574673711269	0.01827459586745694	143.37859736343643
0.43040000000000017	0.1430032341536849	-0.005075249977036123	0.018263408594613884	143.34552711925448
0.4305000000000002	0.14297025803620889	-0.005072926868300963	0.018268739024630894	143.31247207004583
0.4306000000000002	0.14293729706701708	-0.005070605346064776	0.018259657762701123	143.27943220538037
0.4307000000000002	0.14290435123571366	-0.005068285408880181	0.018245275195742285	143.2464075148374
0.4308000000000002	0.14287142053191243	-0.005065967055314474	0.018251098054303125	143.21339798800585
0.43090000000000017	0.14283850494523653	-0.0050636502839597	0.01824806209940821	143.18040361448402
0.4310000000000002	0.14280560446531856	-0.005061335093334133	0.01823922573433045	143.1474243838797
0.4311000000000002	0.1427727190818007	-0.005059021482044194	0.01823612050528211	143.11446028581025
