#Parameters = {FPC_IR1=0.51181102362205; FPC_IR2=0.82086614173228; FPC_IR3=0.67905970079231; FPC_L1=0.24803149606299; FPC_L2=0.5511811023622; FPC_L3=0.23622047244094; FPC_L4=0.82677165354331; FPC_L5=0.78740157480315; FPC_OR1=2.1259842519685; FPC_OR2=1.8897637795276; FPC_OR3=1.5625; FPC_dz=0.17; FPC_sbel=1.1163333333333; FPC_z0=11.328496062992; FPC_z1=28.595; FPC_z2=30.457204724409; FPC_zext=11.811023622047; PU_ID=0.3804347826087; PU_L=5; PU_OD=0.875; PU_dz=1; Window_d=0.24803149606299}
#"Z / mm"	"e_Z (Z)"
#------------------
-217.10000000000	21492.673828125
-217.00000000000	21754.359375000
-216.90000000000	22018.630859375
-216.80000000000	22285.455078125
-216.70000000000	22554.910156250
-216.60000000000	22826.910156250
-216.50000000000	23101.539062500
-216.40000000000	23378.759765625
-216.30000000000	23658.525390625
-216.20000000000	23940.923828125
-216.10000000000	24225.861328125
-216.00000000000	24512.640625000
-215.90000000000	24802.515625000
-215.80000000000	25097.169921875
-215.70000000000	25396.146484375
-215.60000000000	25699.345703125
-215.50000000000	26006.869140625
-215.40000000000	26318.671875000
-215.30000000000	26634.699218750
-215.20000000000	26955.052734375
-215.10000000000	27279.628906250
-215.00000000000	27608.535156250
-214.90000000000	27941.716796875
-214.80000000000	28279.121093750
-214.70000000000	28620.847656250
-214.60000000000	28966.804687500
-214.50000000000	29317.093750000
-214.40000000000	29671.648437500
-214.30000000000	30030.433593750
-214.20000000000	30393.541015625
-214.10000000000	30760.873046875
-214.00000000000	31120.761718750
-213.90000000000	31487.888671875
-213.80000000000	31873.937500000
-213.70000000000	32263.960937500
-213.60000000000	32657.832031250
-213.50000000000	33055.683593750
-213.40000000000	33457.457031250
-213.30000000000	33863.082031250
-213.20000000000	34272.679687500
-213.10000000000	34686.144531250
-213.00000000000	35103.578125000
-212.90000000000	35524.937500000
-212.80000000000	35950.144531250
-212.70000000000	36379.332031250
-212.60000000000	36812.378906250
-212.50000000000	37249.402343750
-212.40000000000	37690.218750000
-212.30000000000	38133.851562500
-212.20000000000	38581.578125000
-212.10000000000	39033.246093750
-212.00000000000	39489.257812500
-211.90000000000	39965.175781250
-211.80000000000	40448.757812500
-211.70000000000	40937.746093750
-211.60000000000	41432.003906250
-211.50000000000	41931.675781250
-211.40000000000	42436.687500000
-211.30000000000	42946.960937500
-211.20000000000	43462.660156250
-211.10000000000	43983.601562500
-211.00000000000	44509.976562500
-210.90000000000	45041.691406250
-210.80000000000	45578.667968750
-210.70000000000	46121.066406250
-210.60000000000	46668.699218750
-210.50000000000	47221.781250000
-210.40000000000	47779.921875000
-210.30000000000	48343.148437500
-210.20000000000	48911.843750000
-210.10000000000	49485.835937500
-210.00000000000	50065.320312500
-209.90000000000	50674.937500000
-209.80000000000	51290.835937500
-209.70000000000	51911.847656250
-209.60000000000	52539.089843750
-209.50000000000	53172.765625000
-209.40000000000	53812.765625000
-209.30000000000	54459.003906250
-209.20000000000	55111.660156250
-209.10000000000	55770.558593750
-209.00000000000	56435.875000000
-208.90000000000	57107.523437500
-208.80000000000	57785.410156250
-208.70000000000	58469.707031250
-208.60000000000	59160.253906250
-208.50000000000	59857.218750000
-208.40000000000	60560.523437500
-208.30000000000	61270.039062500
-208.20000000000	61985.992187500
-208.10000000000	62708.179687500
-208.00000000000	63448.679687500
-207.90000000000	64215.597656250
-207.80000000000	65000.042968750
-207.70000000000	65793.000000000
-207.60000000000	66594.234375000
-207.50000000000	67403.960937500
-207.40000000000	68222.078125000
-207.30000000000	69048.453125000
-207.20000000000	69883.351562500
-207.10000000000	70726.500000000
-207.00000000000	71578.164062500
-206.90000000000	72438.226562500
-206.80000000000	73306.523437500
-206.70000000000	74183.359375000
-206.60000000000	75068.421875000
-206.50000000000	75962.039062500
-206.40000000000	76864.031250000
-206.30000000000	77774.257812500
-206.20000000000	78693.015625000
-206.10000000000	79620.023437500
-206.00000000000	80554.187500000
-205.90000000000	81498.234375000
-205.80000000000	82454.921875000
-205.70000000000	83423.273437500
-205.60000000000	84402.984375000
-205.50000000000	85394.335937500
-205.40000000000	86397.187500000
-205.30000000000	87411.390625000
-205.20000000000	88437.250000000
-205.10000000000	89474.445312500
-205.00000000000	90523.296875000
-204.90000000000	91583.648437500
-204.80000000000	92655.351562500
-204.70000000000	93738.710937500
-204.60000000000	94833.421875000
-204.50000000000	95939.773437500
-204.40000000000	97057.632812500
-204.30000000000	98186.828125000
-204.20000000000	99327.695312500
-204.10000000000	100479.88281250
-204.00000000000	101644.32031250
-203.90000000000	102865.76562500
-203.80000000000	104100.84375000
-203.70000000000	105349.48437500
-203.60000000000	106611.31250000
-203.50000000000	107886.68750000
-203.40000000000	109175.42968750
-203.30000000000	110477.34375000
-203.20000000000	111792.83593750
-203.10000000000	113121.50000000
-203.00000000000	114463.74218750
-202.90000000000	115819.34375000
-202.80000000000	117188.12500000
-202.70000000000	118570.45312500
-202.60000000000	119965.95312500
-202.50000000000	121375.03906250
-202.40000000000	122797.50000000
-202.30000000000	124233.12500000
-202.20000000000	125682.30468750
-202.10000000000	127144.65625000
-202.00000000000	128626.79687500
-201.90000000000	130145.99218750
-201.80000000000	131694.89062500
-201.70000000000	133256.81250000
-201.60000000000	134831.32812500
-201.50000000000	136418.85937500
-201.40000000000	138019.18750000
-201.30000000000	139632.03125000
-201.20000000000	141257.93750000
-201.10000000000	142896.39062500
-201.00000000000	144547.85937500
-200.90000000000	146212.18750000
-200.80000000000	147889.01562500
-200.70000000000	149578.85937500
-200.60000000000	151281.28125000
-200.50000000000	152996.78125000
-200.40000000000	154725.01562500
-200.30000000000	156465.78125000
-200.20000000000	158219.62500000
-200.10000000000	159986.01562500
-200.00000000000	161782.34375000
-199.90000000000	163672.03125000
-199.80000000000	165617.32812500
-199.70000000000	167581.90625000
-199.60000000000	169565.12500000
-199.50000000000	171567.65625000
-199.40000000000	173589.17187500
-199.30000000000	175629.32812500
-199.20000000000	177688.79687500
-199.10000000000	179766.92187500
-199.00000000000	181864.35937500
-198.90000000000	183980.78125000
-198.80000000000	186115.85937500
-198.70000000000	188270.23437500
-198.60000000000	190439.75000000
-198.50000000000	192625.10937500
-198.40000000000	194829.39062500
-198.30000000000	197052.28125000
-198.20000000000	199294.48437500
-198.10000000000	201555.26562500
-198.00000000000	203852.37500000
-197.90000000000	206190.09375000
-197.80000000000	208540.07812500
-197.70000000000	210915.85937500
-197.60000000000	213316.64062500
-197.50000000000	215743.28125000
-197.40000000000	218195.32812500
-197.30000000000	220672.42187500
-197.20000000000	223175.28125000
-197.10000000000	225703.25000000
-197.00000000000	228257.00000000
-196.90000000000	230836.14062500
-196.80000000000	233440.37500000
-196.70000000000	236070.37500000
-196.60000000000	238725.40625000
-196.50000000000	241406.26562500
-196.40000000000	244112.59375000
-196.30000000000	246843.84375000
-196.20000000000	249600.98437500
-196.10000000000	252383.12500000
-196.00000000000	255195.29687500
-195.90000000000	258065.25000000
-195.80000000000	260961.20312500
-195.70000000000	263887.00000000
-195.60000000000	266841.81250000
-195.50000000000	269826.53125000
-195.40000000000	272840.68750000
-195.30000000000	275883.84375000
-195.20000000000	278956.90625000
-195.10000000000	282058.93750000
-195.00000000000	285190.84375000
-194.90000000000	288352.21875000
-194.80000000000	291542.53125000
-194.70000000000	294762.84375000
-194.60000000000	298012.09375000
-194.50000000000	301291.18750000
-194.40000000000	304599.81250000
-194.30000000000	307937.34375000
-194.20000000000	311304.87500000
-194.10000000000	314701.25000000
-194.00000000000	318190.28125000
-193.90000000000	321733.96875000
-193.80000000000	325271.43750000
-193.70000000000	328840.65625000
-193.60000000000	332440.40625000
-193.50000000000	336071.71875000
-193.40000000000	339734.31250000
-193.30000000000	343427.50000000
-193.20000000000	347152.28125000
-193.10000000000	350907.78125000
-193.00000000000	354694.93750000
-192.90000000000	358513.18750000
-192.80000000000	362362.03125000
-192.70000000000	366242.65625000
-192.60000000000	370153.75000000
-192.50000000000	374096.59375000
-192.40000000000	378070.62500000
-192.30000000000	382075.15625000
-192.20000000000	386111.37500000
-192.10000000000	390178.21875000
-192.00000000000	394268.65625000
-191.90000000000	398438.68750000
-191.80000000000	402682.12500000
-191.70000000000	406960.03125000
-191.60000000000	411271.21875000
-191.50000000000	415616.96875000
-191.40000000000	419996.56250000
-191.30000000000	424409.40625000
-191.20000000000	428856.87500000
-191.10000000000	433334.46875000
-191.00000000000	437829.12500000
-190.90000000000	442356.81250000
-190.80000000000	446916.59375000
-190.70000000000	451510.06250000
-190.60000000000	456135.81250000
-190.50000000000	460795.18750000
-190.40000000000	465487.56250000
-190.30000000000	470212.12500000
-190.20000000000	474970.28125000
-190.10000000000	479760.71875000
-190.00000000000	484673.50000000
-189.90000000000	489715.15625000
-189.80000000000	494805.87500000
-189.70000000000	499929.50000000
-189.60000000000	505084.40625000
-189.50000000000	510271.96875000
-189.40000000000	515491.62500000
-189.30000000000	520742.62500000
-189.20000000000	526026.37500000
-189.10000000000	531341.18750000
-189.00000000000	536689.06250000
-188.90000000000	542068.93750000
-188.80000000000	547479.87500000
-188.70000000000	552923.75000000
-188.60000000000	558398.75000000
-188.50000000000	563906.81250000
-188.40000000000	569446.75000000
-188.30000000000	575018.00000000
-188.20000000000	580622.00000000
-188.10000000000	586257.12500000
-188.00000000000	591950.12500000
-187.90000000000	597687.93750000
-187.80000000000	603454.06250000
-187.70000000000	609266.00000000
-187.60000000000	615121.81250000
-187.50000000000	621023.37500000
-187.40000000000	626969.68750000
-187.30000000000	632960.06250000
-187.20000000000	638996.06250000
-187.10000000000	645076.06250000
-187.00000000000	651201.68750000
-186.90000000000	657372.18750000
-186.80000000000	663586.62500000
-186.70000000000	669846.68750000
-186.60000000000	676150.68750000
