#Parameters = {R=7.6; penetration=150}
#"Z / mm"	"e_Z (Z)"
#------------------
-122.70000000000	-329547.06250000
-122.60000000000	-333773.37500000
-122.50000000000	-338048.25000000
-122.40000000000	-342371.81250000
-122.30000000000	-346744.12500000
-122.20000000000	-351165.37500000
-122.10000000000	-355636.00000000
-122.00000000000	-360191.56250000
-121.90000000000	-364800.59375000
-121.80000000000	-369431.62500000
-121.70000000000	-374120.78125000
-121.60000000000	-378868.53125000
-121.50000000000	-383675.12500000
-121.40000000000	-388540.75000000
-121.30000000000	-393465.25000000
-121.20000000000	-398449.06250000
-121.10000000000	-403491.43750000
-121.00000000000	-408592.65625000
-120.90000000000	-413752.87500000
-120.80000000000	-418972.03125000
-120.70000000000	-424250.37500000
-120.60000000000	-429587.40625000
-120.50000000000	-434983.25000000
-120.40000000000	-440438.06250000
-120.30000000000	-445951.81250000
-120.20000000000	-451524.93750000
-120.10000000000	-457158.06250000
-120.00000000000	-462886.84375000
-119.90000000000	-468679.87500000
-119.80000000000	-474502.84375000
-119.70000000000	-480394.53125000
-119.60000000000	-486355.25000000
-119.50000000000	-492385.21875000
-119.40000000000	-498484.43750000
-119.30000000000	-504653.03125000
-119.20000000000	-510891.43750000
-119.10000000000	-517198.62500000
-119.00000000000	-523575.12500000
-118.90000000000	-530021.00000000
-118.80000000000	-536536.06250000
-118.70000000000	-543120.87500000
-118.60000000000	-549774.62500000
-118.50000000000	-556497.75000000
-118.40000000000	-563290.12500000
-118.30000000000	-570151.68750000
-118.20000000000	-577083.31250000
-118.10000000000	-584083.62500000
-118.00000000000	-591172.50000000
-117.90000000000	-598335.12500000
-117.80000000000	-605558.50000000
-117.70000000000	-612860.25000000
-117.60000000000	-620239.25000000
-117.50000000000	-627696.18750000
-117.40000000000	-635231.00000000
-117.30000000000	-642843.68750000
-117.20000000000	-650534.87500000
-117.10000000000	-658303.43750000
-117.00000000000	-666149.87500000
-116.90000000000	-674074.25000000
-116.80000000000	-682076.43750000
-116.70000000000	-690156.68750000
-116.60000000000	-698313.50000000
-116.50000000000	-706547.68750000
-116.40000000000	-714858.93750000
-116.30000000000	-723247.87500000
-116.20000000000	-731714.31250000
-116.10000000000	-740257.75000000
-116.00000000000	-748887.93750000
-115.90000000000	-757602.87500000
-115.80000000000	-766393.06250000
-115.70000000000	-775266.43750000
-115.60000000000	-784221.06250000
-115.50000000000	-793258.00000000
-115.40000000000	-802377.00000000
-115.30000000000	-811578.31250000
-115.20000000000	-820862.43750000
-115.10000000000	-830228.00000000
-115.00000000000	-839675.93750000
-114.90000000000	-849205.93750000
-114.80000000000	-858818.06250000
-114.70000000000	-868513.31250000
-114.60000000000	-878289.81250000
-114.50000000000	-888148.56250000
-114.40000000000	-898089.56250000
-114.30000000000	-908112.56250000
-114.20000000000	-918218.81250000
-114.10000000000	-928406.31250000
-114.00000000000	-938671.93750000
-113.90000000000	-949022.25000000
-113.80000000000	-959463.25000000
-113.70000000000	-969984.93750000
-113.60000000000	-980585.75000000
-113.50000000000	-991266.06250000
-113.40000000000	-1002026.2500000
-113.30000000000	-1012866.0000000
-113.20000000000	-1023786.3750000
-113.10000000000	-1034785.8125000
-113.00000000000	-1045865.0000000
