#Parameters = {C_OD=21; C_ext=900; R=7.6; penetration=55}
#"Z / mm"	"e_Z (Z)"
#------------------
-123.70000000000	-108940.40625000
-123.60000000000	-110188.60937500
-123.50000000000	-111451.28125000
-123.40000000000	-112728.44531250
-123.30000000000	-114020.09375000
-123.20000000000	-115326.32812500
-123.10000000000	-116646.95312500
-123.00000000000	-117982.05468750
-122.90000000000	-119331.64843750
-122.80000000000	-120695.71875000
-122.70000000000	-122074.37500000
-122.60000000000	-123467.42187500
-122.50000000000	-124874.96875000
-122.40000000000	-126296.98437500
-122.30000000000	-127733.48437500
-122.20000000000	-129184.57812500
-122.10000000000	-130650.05468750
-122.00000000000	-132130.01562500
-121.90000000000	-133639.93750000
-121.80000000000	-135167.57812500
-121.70000000000	-136713.04687500
-121.60000000000	-138276.12500000
-121.50000000000	-139856.90625000
-121.40000000000	-141455.43750000
-121.30000000000	-143071.65625000
-121.20000000000	-144705.71875000
-121.10000000000	-146357.39062500
-121.00000000000	-148026.76562500
-120.90000000000	-149713.84375000
-120.80000000000	-151418.67187500
-120.70000000000	-153141.34375000
-120.60000000000	-154881.59375000
-120.50000000000	-156639.54687500
-120.40000000000	-158415.23437500
-120.30000000000	-160208.64062500
-120.20000000000	-162019.89062500
-120.10000000000	-163848.75000000
-120.00000000000	-165695.29687500
-119.90000000000	-167584.70312500
-119.80000000000	-169495.43750000
-119.70000000000	-171427.68750000
-119.60000000000	-173381.15625000
-119.50000000000	-175355.96875000
-119.40000000000	-177352.14062500
-119.30000000000	-179369.67187500
-119.20000000000	-181408.70312500
-119.10000000000	-183468.95312500
-119.00000000000	-185550.56250000
-118.90000000000	-187653.51562500
-118.80000000000	-189777.82812500
-118.70000000000	-191923.67187500
-118.60000000000	-194090.70312500
-118.50000000000	-196279.07812500
-118.40000000000	-198488.81250000
-118.30000000000	-200719.89062500
-118.20000000000	-202972.53125000
-118.10000000000	-205246.34375000
-118.00000000000	-207541.51562500
-117.90000000000	-209963.54687500
-117.80000000000	-212408.28125000
-117.70000000000	-214875.92187500
-117.60000000000	-217366.06250000
-117.50000000000	-219878.90625000
-117.40000000000	-222414.43750000
-117.30000000000	-224972.67187500
